Wine_Id,Name,Type,DO,Size,Grape,Ageing,Sight,Smell,Taste,Pairing
196,Vino Castillo de Lliria,Blancos,D.O Valencia,"0,75L","Sauvignon blanc,Viura",Sin crianza,Amarillo pajizo con tonos verdosos,Fruta fresca,Amable y frutal con buena acidez,"Mariscos, pescados"
197,Vino Glárima,,,,"Sauvignon blanc,Viura",4 meses en barrica de roble francés,Rojo guinda con tonos violetas,"Frutal, limpio e intenso con matices especiados","Ataque suave, amplio y equilibrado. Postgusto complejo y de gran persistencia. ","Pollo al curry, quiche de bacon y puerro, empanadas argentinas de carne. "
198,Vino Marqués de Riscal,Blancos,D.O Rueda,"0,75L",Verdejo,Sin crianza,Amarillo pajizo,"Frutas tropicales, hinojo y hierba fresca",Refrescante a la vez que untuoso con final ligeramente amargo,"Pescados, mariscos, jamón, pastas, pollo y carnes frías"
199,Bach ,Rosados,D.O Cataluña,"0,75L","Cabernet sauvignon,Tempranillo,Merlot",Sin crianza,Frambuesa brillante con matices azulados,"Intenso y persistente, frutas rojas, flores y fondo caramelo ácido","Fresco, carnoso, redondo, elegante y prolongado final","Embutidos, arroces, pastas, pescados, carnes blancas"
200,Via Terra,,,,"Cabernet sauvignon,Tempranillo,Merlot",6 meses en barrica de roble francés ,Rojo intenso con tonos violáceos,Aromas a frutas rojas y toques especiados ,"Entrada amable, paso de boca y taninos suaves","Pulpo gallego, embutidos, estofados y legumbres"
201,Tinto Pradorey Crianza,,,,"Cabernet sauvignon,Tempranillo,Merlot",10 meses en barrica de roble europeo y americano,Rojo nazareno con tonalidades azules limpio y brillante,"Aromas a frutas rojas y negras acompañados de notas especiadas, minerales, balsámicos y torrefactos","Muy agradable, con entrada golosa y madura. Untuoso, largo en el paso por boca y madurez aromática en retro nasal","Chacinas en frío especiadas y adobadas, setas salteadas o a la plancha, pizzas, empanadas de carne y quesos suaves"
202,Vino Blume ,Blancos,D.O Rueda,"0,75L",Verdejo,Sin crianza,Amarillo pálido con sutiles reflejos dorados,"Aromas a cítricos, flores blancas y hierbas","Acidez bien integrada, cuerpo medio y final fresco y agradable","Pescado al vapor, ensaladas o sopas frías"
203,Cava Conde de Caralt,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",12 meses en botella,Amarillo pajizo con borde dorado,"Suave y complejo, manzana, cítricos, frutos secos y tostados",Intenso y agradable con final ligeramente amargo,"Aperitivos, asados, mariscos, pescados, quesos"
204,Vino Faustino VII ,Blancos,D.O Rioja,"0,185L",Viura,Sin crianza,Amarillo dorado pálido,"Fruta blanca (pera o manzana), flores y hierbas","Fresco y equilibrado, con buena sensación final a frutas","Salchichas frankfurt, patatas guisadas, pescados, mariscos, verduras, pasta, queso"
205,Vino Canals & Nubiola,Espumosos,D.O Cataluña,"0,75L",Airen,Sin crianza,Amarillo paja brillante,Afrutado y fresco,"Dulzor agradable, notas albaricoque, con finas burbujas","Aperitivos, postres y tartas de frutas"
206,Vino Bautista Martí Lambrusco ,Espumosos,D.O Lambrusco,"0,75L",Lambrusco de modena,Sin crianza,"Limpio, brillante con ligeros reflejos verde metalizados","Nariz limpia, golosa y ligeramente afrutada",Retrogusto largo e intenso,"Arroces, carnes blancas, pescados, sushi, pizza, pastas ligeras"
207,Cava Freixenet Carta Nevada,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",12 meses ,Amarillo pajizo con burbuja media,Aromas florales ,Bien estructurado debido a su media crianza,"Solo, pescados, mariscos, ensaladas, pastas, arroces   "
208,Vino Castillo de Lliria ,Blancos,D.O Valencia,"0,75L","Sauvignon blanc,Viura",Sin crianza,Amarillo pajizo brillante,Fruta madura,"Amplio, suave y bien equilibrado","Mariscos, pescados"
209,Vino René Barbier Kraliner Seco,Blancos,D.O Penedès,"0,75L","Parellada,Macabeo,Xarel.lo",Sin crianza,Amarillo pálido alimonado con tonos verdosos,"Manzana, plátano y toque cítrico","Fresco, sabroso y equilibrado en paso por boca","Aperitivos, mariscos, pescados y pastas"
210,Vino Enterizo ,Rosados,D.O Utiel-Requena,"0,75L",Bobal,Sin crianza,Rosáceo con tonalidades violáceas,"Frutas rojas, chicle de fresa y cerezas",Equilibrado y de larga persistencia   ,"Comidas ligeras, sopas, arroces, pescado, pastas, aperitivos"
211,Vino Soldepeñas,Blancos,D.O Valdepeñas,"0,75L",Airen,Sin crianza,Amarillo pálido,Aromas perfumados y afrutados,"Fresco, frutoso y vivaz","Comidas ligeras, sopas, pescados, aves, mariscos y entrantes"
212,Vino Viñas de Anna ,Blancos,D.O Cataluña,"0,75L",Chardonnay,Sin crianza,Amarillo dorado con reflejos verdosos,Fruta blanca y cítricos,"Fresco, voluminoso y final largo y refrescante","Carnes blancas, pescados, mariscos, arroces, pastas"
213,Cava Freixenet Carta Nevada,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",12 meses en botella,Amarillo pajizo con borde dorado,"Aromas frutas blancas, hierbas de campo, leves toques tostados y flores","Fresco y con cierta acidez, paso de boca agradable con final persistente","Postres, entrantes, aperitivos, carnes, pescados"
214,Vino Dominio de los Duques,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo",9 meses en botella,Amarillo pálido con burbuja fina,"Aromas de melocotón maduro, ciruela blanca, manzana y cítricos","Suave, afrutado, con delicadas notas de dulzor",Aperitivos y postres
215,Vino Gran Muiño,Blancos,D.O Rías Baixas,"0,75L",Albariño,Sin crianza,Amarillo verdoso con reflejos dorados,Aromas frutales y de flores blancas,"Elegante, agradable, amplio, equilibrado y de final largo","Pescados, mariscos, aperitivos y pasta"
216,Vino Tesoro de Bullas,Blancos,D.O Bullas,"0,75L",Macabeo,Sin crianza,Amarillo pajizo pálido con reflejos verdosos,"Intensidad media-alta, con notas frutales, cítricos y hierbas","Buen paso por boca, fresco, equilibrado y armonioso",Pescados y mariscos
217,Vino Hoya de Cadenas ,Rosados,D.O Utiel-Requena,"0,75L",Bobal,Sin crianza,Rojo intenso,Fresa ,"Afrutado, con acidez refrescante","Arroces secos, embutidos, pastas y carnes "
218,Vino Campo Viejo,Blancos,D.O Rioja,"0,75L",Viura,Sin crianza,Amarillo pajizo y reflejos acerados,Frutas y flores blancas,Perfumado y bien equilibrado con final largo,"Aperitivos, pescados, mariscos, arroces, postres y platos fríos"
219,Vino Enrique Mendoza,Blancos,D.O Alicante,"0,75L",Chardonnay,Sin crianza,Amarillo pajizo con reflejos dorados y verdosos,"Heno, manzana verde, hierba recién cortada, frutos secos y frutas tropicales","Persistente, graso, maduro y buen equilibrio",Pescados y mariscos
220,Vino Dominio de los Duques,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo",12 meses en botella,Amarillo pajizo de burbuja fina,Aromas de jazmín y cítricos,Fresco y afrutado,Aperitivos o en ocasiones especiales
221,Vino El Miracle Fusión,Blancos,D.O Valencia,"0,75L","Sauvignon blanc,Chardonnay,Macabeo",Sin crianza,Amarillo pajizo con ligeros tonos verdosos,"Flor de azahar, notas cítricas y fruta tropical",Refrescante acidez y bouquet consistente,Cocinas exóticas
222,Vino Fragolino,Rosados,V. de la tierra de Italia,"0,75L",Fragola,Sin crianza,Rojo vivaz con reflejos violáceos ,"Nariz limpia, fresca, afrutada","Agradable, dulce y de fresca acidez","Pizza, queso fresco, dulces, fruta y repostería"
223,Vino La Tremenda,Blancos,D.O Alicante,"0,75L","Moscatel,Macabeo",Sin crianza,Amarillo brillante con destellos verdosos,"Notas cítricas, flores blancas y pétalos de rosa","Fresco con nervio y con buena acidez, con un punto salino",Pescados y mariscos
224,Vino Pata Negra,Blancos,D.O Rueda,"0,75L",Verdejo,Sin crianza,Amarillo pálido con reflejos dorados,Notas frutales sobre un fondo de aromas vegetales y anisados,"Equilibrado y fresco, de paladar largo y untuoso","Arroces, pescados y mariscos"
225,Vino Torelló,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",24 meses en botella,"Amarillo pálido con reflejos verdosos, burbuja fina y persistente",Frutas blancas que evolucionan,Buen equilibrio de acidez y frescura,"Solo, pescados, mariscos, ensaladas, pastas"
226,Vino Dehesas Viejas ,Blancos,D.O Rueda,"0,75L",Verdejo,Sin crianza,Amarillo pajizo con reflejos verdosos,"Intensidad media, hierbas y toques de fruta blanca","Entrada amable, suave, poco untuoso con postgusto amargo","Aperitivos, entrantes, arroces, pasta, quesos suaves"
227,Vino Viñas del Vero ,Blancos,D.O Somontano,"0,75L",Chardonnay,Sin crianza,Amarillo pálido brillante con irisaciones verdosas,"Frutas, flores y hierbas","Agradable, sabroso, denso, estructurado, redondo y con final largo","Aperitivos, entrantes, ensaladas, mariscos, pescados y platos ligeros"
228,Vino Pedro Ximenez,Generosos,D.O Montilla-Moriles,"0,75L",Pedro ximenez,Oxidativa mediante sistema de criaderos y soleras durante no menos de 5 años en botas de roble americano,Caoba,Frutas negras,Goloso al paladar,Postres y recetas tradicionales
229,Cava Vallformosa,Espumosos,D.O Cava,"0,75L","Chardonnay,Parellada,Macabeo,Xarel.lo",24 meses sobre lías,Amarillo pajizo con reflejos verdosos y burbuja pequeña,"Intenso, elegante y complejo, frutas blancas, cítricos, y toques de crianza","Afrutado, untuoso, seco y fresco con final agradable","Aperitivos, ahumados, pescados y mariscos"
230,Cava Freixenet Mini Cordón Negro ,Espumosos,D.O Cava,"0,2L","Parellada,Macabeo,Xarel.lo",Entre 10 y 14 meses de crianza,Amarillo pajizo brillante con burbuja fina y persistente,"Aromas a manzana, pera, melocotón, melón y piña","Limpio, ligero y elegante, con amplia vía retronasal",Perfecto para comida asiática
231,Cava Freixenet Cordón Negro,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",Entre 10 y 14 meses de crianza,Amarillo pajizo brillante con burbuja fina y persistente,"Aromas a manzana, pera, melocotón, melón y piña","Limpio, ligero y elegante, con amplia vía retronasal",Perfecto para comida asiática
232,Vino Gran Castillo,Rosados,D.O Utiel-Requena,"0,75L",Tempranillo,Sin crianza,Rojo cereza intenso y brillante,Afrutado y potente con notas frutales y recuerdos florales,"Sabroso, joven y muy fresco","Arroces, pastas, pescados, platos orientales"
233,Vino Málaga Virgen,Generosos,D.O Málaga,"0,75L",Pedro ximenez,24 meses en botas de roble americano,Caoba oscuro con ribetes yodados,Aromas de crianza,"Sabroso, dulce y elegante","Aperitivos, brownie con helado de vainilla"
234,Vino Sandara ,Rosados,V. de la tierra de la C. Valenciana,"0,75L",Bobal,Sin crianza,Rosa frambuesa,Aromas de agua de rosas y cerezas rojas maduras,Frambuesas y fresas con final suave y dulce,Postres
235,Vino Viña del Mar,Blancos,D.O Cataluña,"0,75L","Macabeo,Xarel.lo",Sin crianza,Amarillo dorado brillante,Aromas primarios destacando aromas florales,"Sabroso, ligeramente abocado, sedoso y dulzón","Mariscos, pescados y platos ligeros"
236,Cava Bach,Espumosos,D.O Cava,"0,75L","Chardonnay,Parellada,Macabeo,Xarel.lo",12 meses en botella,Amarillo pajizo pálido de burbuja fina,"Manzana, flor de almendro, miel y pan tostado",Burbujas finas y equilibrada acidez,Aperitivo o acompañamiento de tapas   
237,Vino Raimat ,Rosados,D.O Costers del Segre,"0,75L","Cabernet sauvignon,Tempranillo",Sin crianza,Rosa pálido brillante,"Sutil, con notas a fresa, violetas y pétalos de rosa","Amable, fresco, voluminoso, equilibrado y de gran recorrido","Pescado azul, pastas, arroces, tapas, ensaladas, verduras y aves"
238,Cava Vallformosa,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",12 meses sobre lías,"Amarillo pálido con reflejos verdosos, burbuja fina y persistente","Aromas afrutados, combinados con notas de flores blancas y cítricos","Agradable, fresco, sabroso, buena sensación carbónica y buena persistencia","Para tomarlo solo, como aperitivo y acompañando toda la comida"
239,Vino Depende,Blancos,D.O Rías Baixas,"0,75L",Albariño,Sin crianza,Amarillo dorado con reflejos verdosos,"Aromas a manzana verde, plátano y melón","Frutas maduras, muy aromático y ligeramente amargo",Ensaladas y todo tipo de pescados
240,Vino Los Molinos,Rosados,D.O Valdepeñas,"0,75L",Tempranillo,En tanques de acero inoxidable durante 12-15 días,Rosado,Frutas rojas,Refrescante con final limpio y persistente,"Mariscos, pescados y sopas"
241,Vino Anna de Codorniu,Espumosos,D.O Cava,"0,2L","Chardonnay,Parellada,Macabeo,Xarel.lo",12 meses en botella,"Amarillo pajizo pálido, de burbuja fina y rosario continuo y corona persistente","Fruta tropical, cítricos",Suave con notas cítricas equilibradas y muy refrescante,"Aperitivos, mariscos, pescados, sushi o carpaccios"
242,Vino Alma Mística,Blancos,D.O Valencia,"0,75L","Moscatel,Viura",Sin crianza,Amarillo brillante con matices verdosos,"Muy intenso y complejo, aromas de frutas exóticas y matices florales","Sabroso y aromático, fresco y persistente","Ensaladas, calderetas de pescado, fideuá, paellas, mariscos y carnes blancas"
243,Vino Hoya de Cadenas,Blancos,D.O Utiel-Requena,"0,75L",Chardonnay,Sin crianza,Amarillo pálido,Fruta tropical y manzana madura,"Fresco, con equilibrio entre ácido y afrutado con toques de manzana verde crujiente","Cefalópodos, quesos y bacalao o salmón"
244,Vino Sangue di Giuda,Rosados,V. de la tierra de Italia,"0,75L",Barbera,Sin crianza,"Brillante, rojo rubí intenso con reflejos violáceos","Nariz limpia, intensa, afrutada con notas de mermelada","Picante, dulce y suave","Quesos, pastas, arroces, carnes y dulces"
245,Vino Dubois,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",9 meses en botella,Amarillo pajizo muy pálido con burbuja fina y elegante,"Aromas afrutados, cítricos y flores blancas","Agradable, afrutado, fresco y equilibrado","Aperitivos, frutos secos, tartas saladas"
246,Cava Anna de Codorniu,Espumosos,D.O Cava,"0,75L","Chardonnay,Parellada,Macabeo,Xarel.lo",12 meses en botella,Amarillo brillante con reflejos verdosos,"Cítricos, flores, miel, nueces, flor de almendro y manzanas","Cremoso, equilibrado, largo con sabores delicados","Pescados, mariscos, carnes a la plancha, salteados o fritos y postres"
247,Vino Raimat,Espumosos,D.O Cava,"0,75L","Chardonnay,Xarel.lo",12 meses en botella,Amarillo pajizo con tonos dorados,"Melocotones, fruta madura de primavera y cítricos",Cuerpo importante y con vitalidad,"Platos poco cocinados, aperitivos, platos de mar, carnes blancas, pasta o fruta"
248,Vino Martín Berasategui,Blancos,D.O Rueda,,Verdejo,2 MESES SOBRE LÍAS,AMARILLO PÁLIDO CON DESTELLOS VERDOSOS,"AROMAS A FRUTA MADURA Y HERBÁCEOS, CÍTRICOS Y AROMAS FLORALES","DE GRAN ESTRUCTURA, ENVOLVENTE CON FINAL LARGO Y AFRUTADO","VERDURAS, ARROCES, MARISCOS Y PESCADOS"
249,Altos de Tamarón,,,,Verdejo,3 meses en barrica y 6 meses en botella,Color cereza con tonos violáceos,"Aromas a cerezas, ciruelas y frutos rojos con toques de café y chocolate","Afrutado con un toque de vainilla, taninos suaves y un agradable postgusto","Chuletas de cordero, patés y carne de caza"
250,Vino Diamante,Blancos,D.O Rioja,"0,75L","Malvasia,Viura",Sin crianza,Amarillo pajizo con tonos dorados,Floral y toques de fruta madura,Suave y untuoso,"Aperitivos, pescados, mariscos, arroces, postres y platos fríos"
251,Vino Verdejo Simué,Blancos,D.O Rueda,,Verdejo,Sin crianza,Amarillo pajizo con irisaciones verdosas,"Aromas típicos de la uva verdejo, hinojo y frutas tropicales",Untuoso con final afrutado y refrescante acidez,"Arroces, mariscos y quesos"
252,Vino Viñas del Vero ,Blancos,D.O Somontano,"0,75L",Gewürztraminer,Sin crianza,Amarillo intenso con destellos verdosos,Flores y fruta exótica,"Amable, sedoso, envolvente y sabroso","Aperitivos, foie, ahumados, comida picante, platos exóticos y quesos grasos"
253,Vino El Coto,Rosados,D.O Rioja,"0,75L","Tempranillo,Garnacha",En tanques de acero inoxidable durante 12-15 días,"Rosa pálido, casi fresa","Goloso, de fresas frescas y caramelo",Fresco y goloso,"Aperitivos, ensaladas y cocina oriental"
254,Vino Soñador,Generosos,D.O Montilla-Moriles,"0,75L",Pedro ximenez,Sin crianza,Amarillo pálido pajizo,Aroma punzante y delicado a almendras,Seco y ligero al paladar,"Aperitivos, ibéricos, pescados, mariscos y jamón "
255,Vino Bach ,Blancos,D.O Cataluña,"0,75L",Moscatel,Sin crianza,Amarillo pálido con reflejos verdosos y ligera aguja,Aromas florales y cítricos,"Fresco, cremoso e intenso con fondo floral","Marisco, arroces, pescadito frito sushi y tapeo"
256,Viña Mayor,Blancos,D.O Rueda,,"Verdejo,Sauvignon blanc",2 meses sobre lías,Amarillo pálido brillante con ligeros reflejos verdes,"Muy intenso y fino, limpio, franco de carácter fresco y afrutado. Con notas verdes, cítricas y minerales.","Sabroso y refrescante, fácil de beber y con agradable final. ","Pescados y mariscos, carnes blancas, pastas y ensaladas frescas. "
257,Vino Torelló,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",30 meses en rima,Amarillo pálido brillante,"Aromas de crianza, con evolución y bouquet equilibrado","Rotundo, frutal, final limpio y seco","Solo, pescados, mariscos, ensaladas, pastas, arroces   "
258,Vino Canals & Nubiola,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",9 meses en botella,Amarillo dorado y diminutas burbujas,"Toques afrutados de cítricos, manzana y frutos secos","Fresco, suave y acidez moderada","Cocina mediterránea, solo, tapas"
259,Blanco roble Glarima,Blancos,D.O Somontano,,Chardonnay,Criado sobre lías con battonage diario en una selección de barricas de roble francés,Amarillo pálido brillante con reflejos verdosos,Intenso aroma frutal limpio y notas especiadas,"Amplio y suave en el encuentro, graso, con vivacidad y estructura. Muy largo y elegante en el postgusto","Ensalada de pasta de atún, rollo de col relleno de queso y lomo de cerdo a la parrilla"
260,Cava Gran Plus Ultra,Espumosos,D.O Cava,"0,75L",Chardonnay,15 meses mínimo en botella,Amarillo pálido con reflejos dorados y burbuja fina,"Notas de tostado, frutas de primavera y frutos secos","Muy complejo, elegante, amplio, equilibrado y cremoso","Risottos, mariscadas, platos de mar y montaña, magret de pato, estofados, ahumados y condimentos fuertes"
261,Cava Bach,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",12 meses en botella,Amarillo pajizo pálido con burbuja fina,"Aromas de manzana, cítricos, complementados con aromas de crianza",Burbuja fina y equilibrada acidez,"Aperitivos, frutos secos, tartas saladas"
262,Vino Pansa Blanca,Blancos,D.O Alella,"0,75L",Xarel.lo,Sin crianza,Amarillo pajizo con reflejos verdosos,Aromas afrutados y untuosos,"Con volumen, largo, con postgusto dulce",Para toda clase de pescados
263,Vino Pescador ,Blancos,V. de la tierra de Cataluña,"0,75L","Parellada,Macabeo,Xarel.lo",Sin crianza,"Amarillo verdoso, pálido y brillante",Afrutado y vigoroso,"Chispeante, ligero y paso agradable","Pescados, mariscos, verduras, patés y quesos frescos"
264,Vino Consigna,Blancos,I.G.P. V. de la tierra de Castilla,"0,187L",Chardonnay,Sin crianza,Amarillo pálido con reflejos dorados,Aromas a fruta de hueso y tropicales,"Suave y untuoso, con final limpio, fresco y suave","Pastas, mariscos y quesos frescos"
265,Vino Gran Cremant Codorniu,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",9 meses en botella,Amarillo pajizo muy pálido,"Aromas afrutados, cítricos y flores blancas","Agradable, afrutado, fresco y equilibrado",Postres
266,Vino Gran Cremant Codorniu,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",9 meses en botella,Amarillo pajizo muy pálido,"Aromas afrutados, cítricos y flores blancas","Agradable, afrutado, fresco y equilibrado","Aperitivos, frutos secos, tartas saladas"
267,Vino Rosado Homenaje,Rosados,D.O Navarra,,Garnacha,Sin crianza,Rosado brillante con notas violáceas,Aromas frutales intensos con notas de piruleta,"Equilibrado, untuoso, goloso con paso de boca elegante y fresco ","Arroces y pastas, pescados, entremeses, ensaladas y carnes ahumadas "
268,Vino Gran Castillo,Blancos,D.O Utiel-Requena,"0,75L",Viura,Sin crianza,Amarillo dorado con tonos verde pálido,Delicado y frutal,"Ligero y fresco, con buena persistencia en boca","Mariscos, pescados y carnes blancas"
269,Bot Terra Alta,Blancos,D.O Terra Alta,,"Garnacha blanca,Macabeo",Sin crianza,Amarillo pálido con reflejos verdosos,Aromas frutales y florales,Fresco y suave,"Entrantes, aperitivos, pescados blancos, ensaladas y arroces"
270,Vino Jardins,Blancos,D.O Empordà,"0,75L","Garnacha blanca,Sauvignon blanc,Garnacha,Chardonnay,Macabeo",Sin crianza,Amarillo pálido brillante,"Fruta fresca, notas tropicales con fondo floral","Complejo, envolvente y fresco, con final largo y amable","Pescados blancos, mariscos, ensaladas, entrantes"
271,Vino La Boscana,Blancos,D.O Costers del Segre,"0,75L","Moscatel,Chardonnay,Viognier",Sin crianza,Amarillo pálido con reflejos verdosos,"Explosivo, frutas exóticas y recuerdos florales","Fresco, suave, amplio, con acidez equilibrada","Pescado crudo, ahumado o cocinado, cremas, sopas y quesos frescos"
272,Cava Bisila,Espumosos,D.O Cava,"0,75L","Chardonnay,Macabeo",12 meses en botella,Amarillo pajizo con tonos dorados,"Frutas blancas maduras, pastelería y bollería, con toques de moka de fondo","Cremoso, amplio y estructurado","Solo, pescados, mariscos, ensaladas, pastas, arroces   "
273,Freixenet Ice Rosé,Rosados,,,"Garnacha,Pinot noir,Chardonnay",Entre 9-12 meses de crianza,Rosa frambuesa brillante con burbuja fina y elegante ,"Aroma intenso a frutas del bosque, frambuesas, endrinas y fresas","Carácter afrutado con notas anisadas y especiadas, final fresco, elegante y goloso","Hojaldres, helados de frutas y quesos cremosos "
274,Vino Milflores,Blancos,D.O Rioja,"0,75L",Viura,Sin crianza,"Amarillo limón, limpio y cristalino","Flores de manzano, cerezo y fruta blanca",Dulce y refrescante con final a fruta escarchada,"Pastas, mariscos, carnes blancas y pescados"
275,Vino Cruz Conde,Generosos,D.O Montilla-Moriles,"0,75L",Pedro ximenez,5 años de crianza por el tradicional sistema de criaderas y soleras,Amarillo pálido pajizo,Aroma punzante y delicado a almendras,"Fragante, seco y ligero","Aperitivos, pescados y mariscos"
276,Cava Anna de Codorniu,Espumosos,D.O Cava,"0,75L","Pinot noir,Chardonnay",12 meses en botella,Cereza con tonos fresa,"Frutas rojas, fresas, cerezas y frutos del bosque con toque de manzana verde","Fino y ligero, con buen equilibrio entre acidez y azúcares con final refrescante",Aperitivos y copas entre horas
277,Vino Bach,Espumosos,D.O Cava,"0,75L","Pinot noir,Monastrell,Garnacha",9 meses en botella,"Rosado pálido de intensidad media-alta, con ligera corona espumosa","Frutas rojas maduras, con notas de levadura, frutos secos y uvas pasas","Equilibrado, suave y agradable","Múltiples momentos, antes, durante y después de las comidas"
278,Manzanilla la Gitana,,,,"Pinot noir,Monastrell,Garnacha",5-6 años en sistema de soleras método crianza bajo velo,"Oro pálido, limpio y brillante","Muy intenso en nariz, aromas marinos, frutos secos y aceitunas verdes","Entrada fresca, calidez persistente, final con recuerdos amargos a almendras ","Ideal para toda clases de tapas, pescados, mariscos, ahumados, carnes blancas y ensaladas"
279,Vino Or Penedès,Blancos,D.O Penedès,"0,75L","Moscatel,Xarel.lo",Sin crianza,Amarillo pajizo con reflejos dorados,Notas florales y fruta tropical,"Sedoso, amplio, muy frutal con un ligero toque cítrico","Entrantes, ensaladas exóticas, pescados, mariscos crudos y a la plancha"
280,Cava Freixenet Carta Nevada,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",12 meses en botella,Amarillo pajizo brillante con burbuja media,Aromas florales  ,Bien estructurado en boca,Para cualquier comida o solo
281,Vino Canallas,,,,"Parellada,Macabeo,Xarel.lo",4 meses en barrica de roble americano,Rojo picota,Aromas a fruta fresca y madura con toques de vainilla y cacao,"Jugoso, amplio, elegante y bien equilibrado","Es perfecto para copeo entre horas, acompañar entrantes, pastas y guisos."
282,Cava Bach,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo","Sí, no indican tiempo de crianza",Amarillo pajizo pálido de burbuja fina,"Manzana, cítricos, flor de almendro",Burbujas finas y equilibrada acidez,Copa de bienvenida o aperitivos y postres
283,Yllera Frizzante,Espumosos,,,"Parellada,Macabeo,Xarel.lo",Sin crianza,"Amarillo pajizo, limpio y brillante.","Aromas a frutas, cítricos, flores, notas minerales y melosas y frutos tropicales. ","Potente en boca, agradable recorrido, con final dulzón, refrescante largo y persistente. ","Consumir muy frío, aperitivos, postres, fruta y chocolate."
284,Vino Juan de Juanes ,Rosados,D.O Valencia,"0,75L","Cabernet sauvignon,Monastrell",Sin crianza,Rosa pálido,"Intenso, sutil, frutos rojos y jazmín",Complejo y redondo,Bien equilibrado con retrogusto largo
285,Vino Murviedro,Blancos,D.O Valencia,"0,75L",Sauvignon blanc,Sin crianza,Amarillo pálido con reflejos verdosos,"Fruta fresca madura, con fondo de aromas tropicales","Fresco, elegante y equilibrado","Pescados, arroces y comidas picantes"
286,Vino Parxet,Espumosos,D.O Cava,"0,375L","Parellada,Macabeo,Xarel.lo",20-30 meses en botella,"Amarillo muy pálido con reflejos verdes, burbuja fina y persistente",Fruta blanca y cítricos,"Fresco, ligero, equilibrado y muy seco","Solo, pescados, mariscos, ensaladas, pastas, arroces   "
287,Cava Jaume Serra,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",12 meses en botella,Amarillo pálido con tonos verdosos con burbuja fina,"Intenso, fresco y afrutado","Bien estructurado, suave y equilibrado",Pescados y todo tipo de comidas
288,Vino Conde de Caralt ,Rosados,D.O Cataluña,"0,75L","Cariñena,Tempranillo,Garnacha",Sin crianza,Rosa fresa,Fresa y frambuesa,"Paso firme con equilibrio entre acidez y alcohol, con postgusto largo","Arroces, pastas y primeros platos"
289,Vino Tio Pepe,Generosos,D.O Jerez,"0,75L","Palomino,Palomino fino",Mínimo 4 años en botas de roble americano siguiendo el sistema tradicional de solera,Dorado pálido brillante,"Aromas punzantes y delicados, elegantes y potentes","Fresco, seco con postgusto largo y complejo","Aperitivos, tapas, mariscos, pescados"
290,Vino Parxet,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo,Xarel.lo",20-30 meses en botella,"Amarillo muy pálido con reflejos verdes, burbuja fina y persistente",Fruta blanca y cítricos,"Fresco, ligero, equilibrado y muy seco","Solo, pescados, mariscos, ensaladas, pastas, arroces   "
291,Vino Barbadillo,Blancos,V. le la tierra de Cádiz,"0,75L","Palomino,Palomino fino",Sin crianza,Amarillo pálido con reflejos verdosos,"Nariz franca, neta y limpia, flores blancas y frutas tiernas","Franco, seco, ligero y fácil de beber, buena acidez y agradable final","Tapas, aperitivos, entrantes, pescados, mariscos, ensaladas, arroces y verduras"
292,Vino Consigna,Blancos,I.G.P. V. de la tierra de Castilla,"0,75L",Chardonnay,Sin crianza,Amarillo pálido con reflejos dorados,Aromas a fruta de hueso y tropicales,"Suave y untuoso, con final agradable, limpio, fresco y suave","Pastas, mariscos y quesos frescos"
293,Vino Duo,Espumosos,D.O Cava,"0,75L","Macabeo,Xarel.lo",12-14 meses en botella,Amarillo pálido con reflejos dorados,Aromas de fruta blanca y panadería,"Fresco, potente y muy seco","Aperitivos, quesos suaves, pastas y pizza"
294,Vino Dominio de los Duques,Espumosos,D.O Cava,"0,75L","Parellada,Macabeo",12 meses en botella,"Amarillo pálido, de burbuja fina y constante","Manzana asada, recuerdos de pastelería, cítricos y hierbas","Noble, muy seco, burbuja no agresiva pero no integrada del todo, fresco","Solo, pescados, mariscos, ensaladas, pastas, arroces   "
295,Vino Natureo,Blancos,V. de la tierra de Cataluña,"0,75L","Moscatel de alejandría,Moscatel",Sin crianza,Amarillo pajizo,Aromas florales y frutales,Suave y limpio muy goloso,"Aperitivos, pescados, mariscos y arroces"
